Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2017-04-01,Sat,15:00 ,Slovan Liberec,Karviná,2,0,Stadion u Nisy,Ondřej Pechanec
2017-04-01,Sat,17:00 ,Fastav Zlín,Hradec Králové,1,3,Stadion Letná,J. Machálek
2017-04-01,Sat,17:00 ,Vysočina Jihlava,Slovácko,0,0,Stadion v Jiráskově ulici,Zbyněk Proske
2017-04-01,Sat,17:00 ,Příbram,Bohemians 1905,1,0,Energon Aréna,Emanuel Marek
2017-04-01,Sat,17:00 ,Zbrojovka Brno,Dukla Prague,0,0,Městský fotbalový stadion Srbská,Ondřej Ginzel
2017-04-02,Sun,17:30 ,Slavia Prague,Sparta Prague,1,1,Sinobo Stadium,Pavel Franek
2017-04-07,Fri,18:00 ,Dukla Prague,Mladá Boleslav,1,2,Stadion Juliska,Vojtech Severyn
2017-04-07,Fri,20:15 ,Hradec Králové,Viktoria Plzeň,0,1,Všesportovní stadion,Emanuel Marek
2017-04-08,Sat,17:00 ,Slovácko,Příbram,1,0,Městský fotbalový stadion Miroslava Vale...,Ondřej Pechanec
2017-04-08,Sat,17:00 ,Bohemians 1905,Vysočina Jihlava,1,0,Stadion Ďolíček,Paval Julínek
2017-04-08,Sat,20:15 ,Karviná,Slavia Prague,1,2,Městský stadion,Pavel Orel
2017-04-09,Sun,15:00 ,Jablonec,Fastav Zlín,2,0,Stadion Střelnice,Zbyněk Proske
2017-04-09,Sun,17:30 ,Sparta Prague,Zbrojovka Brno,3,2,Generali Arena,Jan Jilek
2017-04-15,Sat,15:00 ,Zbrojovka Brno,Jablonec,2,0,Městský fotbalový stadion Srbská,Radek Příhoda
2017-04-15,Sat,17:00 ,Příbram,Karviná,4,2,Energon Aréna,J. Machálek
2017-04-15,Sat,17:30 ,Mladá Boleslav,Bohemians 1905,1,1,Adidas Aréna,Zbyněk Proske
2017-04-15,Sat,20:15 ,Vysočina Jihlava,Sparta Prague,1,0,Stadion v Jiráskově ulici,Emanuel Marek
2017-04-16,Sun,15:00 ,Slovan Liberec,Dukla Prague,3,1,Stadion u Nisy,Paval Julínek
2017-04-16,Sun,18:15 ,Viktoria Plzeň,Slovácko,2,0,Doosan Arena,Pavel Orel
2017-04-17,Mon,17:30 ,Slavia Prague,Hradec Králové,4,0,Sinobo Stadium,Jan Jilek
