player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Denis Kramar,cz CZE,MF,Opava,17-158,2003,2,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Antonín Křapka,cz CZE,DF,Mladá Boleslav,26-357,1994,12,12,"1,080",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Miloš Kratochvíl,cz CZE,MF,Jablonec,24-262,1996,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Daniel Krch,cz CZE,DF,Bohemians 1905,28-299,1992,4,3,275,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Ladislav Krejčí,cz CZE,"FW,MF",Sparta Prague,28-192,1992,9,7,614,1,3,0,0,0,0,0.15,0.44,0.59,0.15,0.59
Ladislav Krejčí,cz CZE,MF,Sparta Prague,21-268,1999,11,11,973,4,0,0,0,3,1,0.37,0.00,0.37,0.37,0.37
Michal Kristian,cz CZE,MF,Slovan Liberec,20-048,2000,2,1,118,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Krob,cz CZE,DF,Jablonec,33-261,1987,8,5,467,0,1,0,0,5,0,0.00,0.19,0.19,0.00,0.19
Filip Kubala,cz CZE,MF,Slovácko,21-133,1999,8,0,70,1,0,0,0,1,0,1.29,0.00,1.29,1.29,1.29
Vojtěch Kubista,cz CZE,DF,Jablonec,27-300,1993,9,9,683,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26
Mikulas Kubny,cz CZE,GK,Opava,16-123,2004,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomáš Kučera,cz CZE,MF,Teplice,29-177,1991,13,13,"1,170",1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08
Jan Kuchta,cz CZE,FW,Slavia Prague,24-005,1997,8,7,551,2,1,0,0,1,0,0.33,0.16,0.49,0.33,0.49
Ondřej Kúdela,cz CZE,"DF,MF",Slavia Prague,33-293,1987,12,11,"1,004",3,0,1,1,3,0,0.27,0.00,0.27,0.18,0.18
Jiří Kulhánek,cz CZE,MF,Mladá Boleslav,24-311,1996,6,2,167,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Petr Kurka,cz CZE,DF,FK Pardubice,18-193,2002,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Nemanja Kuzmanović,rs SRB,FW,Baník Ostrava,31-231,1989,12,6,589,1,0,0,0,2,0,0.15,0.00,0.15,0.15,0.15
Roman Květ,cz CZE,MF,Bohemians 1905,23-027,1997,11,6,572,0,1,0,0,1,0,0.00,0.16,0.16,0.00,0.16
Jan Kvida,cz CZE,DF,Příbram,29-362,1991,4,0,63,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Tomáš Ladra,cz CZE,MF,Jablonec,23-264,1997,13,8,736,2,3,1,1,0,0,0.24,0.37,0.61,0.12,0.49
Milan Lalkovič,sk SVK,"FW,MF",Baník Ostrava,28-035,1992,2,1,84,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pieter Langedijk,nl NED,"FW,MF",FK Pardubice,26-338,1994,2,0,43,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Daniel Langhamer,cz CZE,MF,Mladá Boleslav,17-299,2003,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jan Laštůvka,cz CZE,GK,Baník Ostrava,38-190,1982,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Radek Látal,cz CZE,MF,Sigma Olomouc,23-028,1997,12,2,293,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Patrik Le Giang,sk SVK,GK,Bohemians 1905,28-127,1992,11,11,990,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Ledecký,cz CZE,FW,České Budĕjov.,27-173,1993,2,0,60,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Claude Lhotecký,cz CZE,MF,Zbrojovka Brno,19-326,2001,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
David Limberský,cz CZE,"DF,MF",Viktoria Plzeň,37-099,1983,11,11,958,1,2,0,0,1,0,0.09,0.19,0.28,0.09,0.28
Ondřej Lingr,cz CZE,MF,Slavia Prague,22-098,1998,11,5,393,1,0,0,0,1,0,0.23,0.00,0.23,0.23,0.23
David Lischka,cz CZE,DF,Sparta Prague,23-151,1997,5,5,450,0,2,0,0,1,0,0.00,0.40,0.40,0.00,0.40
Admir Ljevaković,ba BIH,MF,Teplice,36-159,1984,10,3,257,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Adriel Loua,ci CIV,FW,Viktoria Plzeň,24-172,1996,14,10,897,3,2,0,0,0,0,0.30,0.20,0.50,0.30,0.50
Vladislav Lyovin,ru RUS,MF,Bohemians 1905,25-291,1995,8,8,675,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
